"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"35211",0.7752,0.7091,0.9528,0.7689,0.9025,2018,"AL"
"35212",0.8632,0.6588,0.9796,0.827,0.9387,2018,"AL"
"35213",0.0204,0.1965,0.2862,0.4292,0.1069,2018,"AL"
"35214",0.3475,0.761,0.8381,0.7673,0.7406,2018,"AL"
"35215",0.6132,0.6525,0.9733,0.7752,0.8569,2018,"AL"
"35216",0.0597,0.2877,0.9371,0.7531,0.4623,2018,"AL"
"35217",0.8774,0.8239,0.9748,0.8381,0.9607,2018,"AL"
"35218",0.8569,0.8947,0.8601,0.8286,0.9481,2018,"AL"
"35221",0.706,0.8616,0.9953,0.5031,0.8459,2018,"AL"
"35222",0.294,0.1903,0.3082,0.7626,0.4418,2018,"AL"
"35223",0.0189,0.2752,0.4041,0.5236,0.1478,2018,"AL"
"35224",0.7673,0.6761,0.8491,0.4119,0.7233,2018,"AL"
"35226",0.0283,0.173,0.684,0.4465,0.1651,2018,"AL"
"35228",0.7264,0.4119,0.9167,0.8742,0.8758,2018,"AL"
"35229",0.4575,0.0189,0.7925,0.1132,0.1085,2018,"AL"
"35233",0.3742,0.0157,0.9214,0.9937,0.5503,2018,"AL"
"35234",0.9748,0.7877,0.8915,0.9513,0.9874,2018,"AL"
"35235",0.2689,0.5833,0.9261,0.6352,0.6179,2018,"AL"
"35242",0.0346,0.1006,0.695,0.4906,0.1604,2018,"AL"
"35243",0.0645,0.0613,0.3553,0.2516,0.0645,2018,"AL"
"35244",0.0267,0.0818,0.8726,0.5173,0.1855,2018,"AL"
"35254",0.9119,0.0204,0.8082,0.4214,0.4513,2018,"AL"
"35401",0.945,0.0881,0.9009,0.9638,0.9119,2018,"AL"
"35404",0.4544,0.0833,0.9654,0.8648,0.7013,2018,"AL"
"35405",0.2013,0.25,0.8789,0.6242,0.4638,2018,"AL"
"35406",0.0456,0.261,0.6887,0.3852,0.1808,2018,"AL"
"35441",0.5708,0.3082,0.3585,0.6651,0.5425,2018,"AL"
"35442",0.9623,0.4088,0.9906,0.9308,0.9733,2018,"AL"
"35443",0.9528,0.6777,0.5865,0.9811,0.9591,2018,"AL"
"35444",0.3491,0.1871,0.4906,0.6164,0.4292,2018,"AL"
"35446",0.283,0.4135,0.1981,0.5377,0.3176,2018,"AL"
